mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.3,"39 km N of Valdez, Alaska",1724975989344,1724976075079,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4m3ph2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4m3ph2&format=geojson,,,,,automatic,0,26,ak,024b4m3ph2,",ak024b4m3ph2,",",ak,",",origin,phase-data,",,,0.26,,ml,earthquake,"M 1.3 - 39 km N of Valdez, Alaska"
1.94000006,"6 km SSW of Pāhala, Hawaii",1724975340200,1724975432020,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74430752,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74430752&format=geojson,,,,,automatic,0,58,hv,74430752,",hv74430752,",",hv,",",origin,phase-data,",15.0,0.1031,0.159999996,231.0,md,earthquake,"M 1.9 - 6 km SSW of Pāhala, Hawaii"
0.7,"18 km ESE of Anza, CA",1724974870130,1725023751311,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719471,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719471&format=geojson,,,,,reviewed,0,8,ci,40719471,",ci40719471,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.06188,0.12,60.0,ml,earthquake,"M 0.7 - 18 km ESE of Anza, CA"
1.14,"6 km WNW of Cobb, CA",1724974358680,1724980036557,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75055081,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75055081&format=geojson,,,,,automatic,0,20,nc,75055081,",nc75055081,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.00314,0.01,67.0,md,earthquake,"M 1.1 - 6 km WNW of Cobb, CA"
1.2,"8 km ENE of Goldfield, Nevada",1724974241410,1724976718761,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883437,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883437&format=geojson,,,,,reviewed,0,22,nn,00883437,",nn00883437,",",nn,",",origin,phase-data,",14.0,0.19,0.144,93.8,ml,earthquake,"M 1.2 - 8 km ENE of Goldfield, Nevada"
1.2,"5 km NE of Running Springs, CA",1724974161420,1725023806860,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719463,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719463&format=geojson,,,,,reviewed,0,22,ci,40719463,",ci40719463,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",61.0,0.05924,0.14,43.0,ml,earthquake,"M 1.2 - 5 km NE of Running Springs, CA"
1.99,"147 km WSW of Adak, Alaska",1724973236830,1724990367940,,https://earthquake.usgs.gov/earthquakes/eventpage/av93243978,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93243978&format=geojson,,,,,reviewed,0,61,av,93243978,",av93243978,",",av,",",origin,phase-data,",9.0,0.2103,0.15,275.0,ml,earthquake,"M 2.0 - 147 km WSW of Adak, Alaska"
1.5,"19 km ENE of Chase, Alaska",1724973036378,1724973174553,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4lt6dx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4lt6dx&format=geojson,,,,,automatic,0,35,ak,024b4lt6dx,",ak024b4lt6dx,",",ak,",",origin,phase-data,",,,1.17,,ml,earthquake,"M 1.5 - 19 km ENE of Chase, Alaska"
0.73,"17 km W of Searles Valley, CA",1724972854200,1725023777314,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719431,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719431&format=geojson,,,,,reviewed,0,8,ci,40719431,",ci40719431,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.147,0.14,64.0,ml,earthquake,"M 0.7 - 17 km W of Searles Valley, CA"
1.07,"3 km NW of Anderson Springs, CA",1724972818860,1724975366983,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75055066,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75055066&format=geojson,,,,,automatic,0,18,nc,75055066,",nc75055066,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.01339,0.01,92.0,md,earthquake,"M 1.1 - 3 km NW of Anderson Springs, CA"
