Date,Open,High,Low,Close ,Adj Close ,Volume
29-Jun-20,195.78,198.53,193.55,198.44,191.24,"26,701,600"
26-Jun-20,199.73,199.89,194.88,196.33,189.2,"54,675,800"
25-Jun-20,197.8,200.61,195.47,200.34,193.07,"27,803,900"
24-Jun-20,201.6,203.25,196.56,197.84,190.66,"36,740,600"
23-Jun-20,202.09,203.95,201.43,201.91,194.58,"30,917,400"
22-Jun-20,195.79,200.76,195.23,200.57,193.29,"32,818,900"
19-Jun-20,198.59,199.29,194.37,195.15,188.06,"44,441,100"
18-Jun-20,194,196.49,194,196.32,189.19,"23,061,600"
17-Jun-20,195.03,196.32,193.69,194.24,187.19,"25,687,800"
16-Jun-20,192.89,195.58,191.46,193.57,186.54,"42,556,700"
15-Jun-20,184.58,190.82,184.01,188.94,182.08,"32,770,200"
12-Jun-20,190.54,191.72,185.18,187.74,180.92,"43,373,600"
11-Jun-20,193.13,195.76,186.07,186.27,179.51,"52,854,700"
10-Jun-20,191.13,198.52,191.01,196.84,189.69,"43,872,300"
9-Jun-20,188,190.7,187.26,189.8,182.91,"29,783,900"
8-Jun-20,185.94,188.55,184.44,188.36,181.52,"33,211,600"
5-Jun-20,182.62,187.73,182.01,187.2,180.4,"39,893,600"
4-Jun-20,184.3,185.84,182.3,182.92,176.28,"28,761,800"
3-Jun-20,184.82,185.94,183.58,185.36,178.63,"27,311,000"
2-Jun-20,184.25,185,181.35,184.91,178.2,"30,794,600"
1-Jun-20,182.54,183,181.46,182.83,176.19,"22,622,400"
29-May-20,182.73,184.27,180.41,183.25,176.6,"42,130,400"
28-May-20,180.74,184.15,180.38,181.4,174.81,"33,810,200"
27-May-20,180.2,181.99,176.6,181.81,175.21,"39,517,100"
26-May-20,186.34,186.5,181.1,181.57,174.98,"36,073,600"
22-May-20,183.19,184.46,182.54,183.51,176.85,"20,826,900"
21-May-20,185.4,186.67,183.29,183.43,176.77,"29,119,500"
20-May-20,0.51 Dividend,,,,,
20-May-20,184.81,185.85,183.94,185.66,178.92,"31,261,300"
19-May-20,185.03,186.6,183.49,183.63,176.47,"26,799,100"
18-May-20,185.75,186.2,183.96,184.91,177.7,"35,264,500"
15-May-20,179.06,187.06,177,183.16,176.02,"46,610,400"
14-May-20,177.54,180.69,175.68,180.53,173.49,"41,873,900"
13-May-20,182.55,184.05,176.54,179.75,172.74,"44,711,500"
12-May-20,186.8,187.04,182.3,182.51,175.4,"32,038,200"
11-May-20,183.15,187.51,182.85,186.74,179.46,"30,892,700"
8-May-20,184.98,185,183.36,184.68,177.48,"30,877,800"
7-May-20,184.17,184.55,182.58,183.6,176.44,"28,316,000"
6-May-20,182.08,184.2,181.63,182.54,175.42,"32,139,300"
5-May-20,180.62,183.65,179.9,180.76,173.71,"36,839,200"
4-May-20,174.49,179,173.8,178.84,171.87,"30,372,900"
1-May-20,175.8,178.64,174.01,174.57,167.76,"39,370,500"
30-Apr-20,180,180.4,176.23,179.21,172.22,"53,875,900"
29-Apr-20,173.22,177.68,171.88,177.43,170.51,"51,286,600"
28-Apr-20,175.59,175.67,169.39,169.81,163.19,"34,392,700"
27-Apr-20,176.59,176.9,173.3,174.05,167.27,"33,194,400"
24-Apr-20,172.06,174.56,170.71,174.55,167.75,"34,277,600"
23-Apr-20,174.11,175.06,170.91,171.42,164.74,"32,790,800"
22-Apr-20,171.39,174,170.82,173.52,166.76,"34,620,200"
21-Apr-20,173.5,173.67,166.11,167.82,161.28,"56,203,700"
20-Apr-20,176.63,178.75,174.99,175.06,168.24,"36,669,600"
17-Apr-20,179.5,180,175.87,178.6,171.64,"52,765,600"
16-Apr-20,174.3,177.28,172.9,177.04,170.14,"50,479,600"
15-Apr-20,171.2,173.57,169.24,171.88,165.18,"40,940,800"
14-Apr-20,169,173.75,168,173.7,166.93,"52,874,300"
