eccentricity,periastron,semimajoraxis,periastrontime,lastupdate,list,discoverymethod,period,discoveryyear,mass,description,name
0.231,94.8,1.29,2452899.6,15/09/20,Confirmed planets,RV,326.03,2008,19.4,11 Com b is a brown dwarf-mass companion to the intermediate-mass star 11 Comae Berenices.,11 Com b
0.08,117.63,1.54,2452861.04,15/09/20,Confirmed planets,RV,516.22,2009,11.20,11 Ursae Minoris is a star located in the constellation Ursa Minor and also named Pherkard or Pherkad Minor.,11 UMi b
0,0,0.83,2452861.4,15/09/20,Confirmed planets,RV,185.84,2008,4.8,14 Andromedae is an evolved star in the constellation of Andromeda. It was formerly an A-type dwarf.,14 And b
0.359,22.230,2.864,,15/09/21,Confirmed planets,RV,1766,2002,4.975,"The star 14 Herculis is only 59 light years away in the constellation Hercules. However, because it is an orange dwarf star it can not be seen with the naked eye. There is only one confirmed planet in the system, but a dynamical analysis suggests that they might be two planets locked in a 4:1 mean motion resonance.",14 Her b
0.184,189.076,9.037,,15/09/21,Controversial,RV,9886,2006,7.679,"14 Her c is the second companion in the system. Its properties are not yet well-constrained, though both radial velocity and direct imaging results give some constraints on its properties.",14 Her c
0.689,83.4,1.72,2450539.3,15/09/22,Confirmed planets,RV,799.5,1996,1.77,16 Cygni is a hierarchical triple system. The star is in the Kepler field of view. In an active search for extra-terrestrial intelligence a radio message has been sent to this system on May 24 1999. It will reach the system in 2069.,16 Cygni B b
0.08,166.1,2.6,2451672,15/09/23,Confirmed planets,RV,993.3,2008,10.3,18 Delphini is a star in the constellation of Delphinus.,18 Del b
,,,,15/07/29,Confirmed planets,imaging,,2008,,"1RXS J160929.1-210524 is a 5 million year old pre-main sequence star in the constellation of Scorpius. The observed planet has a large separation, posing problems for current formation scenarios. Two possibilities are that the planet formed by gravitational instability or migrated outwards. There is evidence that 1RXS 1609 b is surrounded by a dust disc inclined to the line of sight.",1RXS1609 b
0.8,,,,15/02/21,Controversial,transit,10044,2007,14.0,"The light curve of 1SWASP J140747.93-394542.6 underwent a complex series of deep eclipses that lasted 56 days in April 2007. This light curve is interpreted as the transit of a giant ring system that is filling up a fraction of the Hill sphere of an unseen secondary companion, J1407b. The object is currently listed as controversial as various inconsistencies arise in current models and it is not clear that the object really is a planet.",1SWASP J1407 b
0.042000,210.0000,0.190000,,18/04/26,Confirmed planets,RV,30.35060000,2018,0.91000,This planet was discovered by Takarada et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Takarada et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,24 Boo b
