magJ,magV,radius,temperature,magK,mass,magH,magB,spectraltype,metallicity,name,planets
2.943,4.74,19,4742,2.282,2.7,2.484,5.74,G8 III,-0.35,11 Com,1.0
2.876,5.024,24.08,4340,1.939,1.80,2.091,6.415,K4III,0.04,11 UMi,1.0
3.019,5.22,11,4813,2.331,2.2,2.608,6.24,K0III,-0.24,14 And,1.0
5.158,6.67,0.708,5311.0,4.714,1.0,4.803,7.57,K0 V,0.43,14 Her,2.0
5.09,5.95,1.243,5825,4.43,1.11,4.72,6.59,G2V,0.096,16 Cygni A,0.0
,13,,,,0.17,,,M,,16 Cygni C,0.0
4.99,6.20,1.127,5750,4.65,1.07,4.70,6.86,G2V,0.052,16 Cygni B,1.0
4.032,5.522,8.5,4979,3.366,2.3,3.440,6.440,G6III,-0.052,18 Del,1.0
9.764,,1.35,4060,8.891,0.85,9.109,,M0V,,1RXS1609,1.0
,,0.99,,,,,,K5,,1SWASP J1407,1.0
3.845,5.580,10.64,4893.00,3.159,0.99,3.340,,G3IV,-0.770,24 Boo,1.0
5.292,7.38,4.9,5098,4.285,1.54,4.486,7.400,G5,-0.03,24 Sex,2.0
,15.7,0.84,3100.0,,0.0165,,,,0.01,2M0437,1.0
10.77,,1.1,3400,9.94,0.2,10.19,,M4.5,,2M0441+2301 Aa,0.0
13.73,,,2800,12.71,0.033,13.30,,M7±1,,2M0441+2301 Ab,0.0
,,,2100,13.46,0.018,14.03,,M7,,2M 044144,1.0
,17.7,0.089,2205.0,,0.12,,,L0/L1.5,,2M 0746+20,1.0
12.995,20.15,,2550.0,11.945,0.025,12.388,,M8,,2M1207,1.0
,12.0,,,,,,,G8IV,,2M 1252+2735,1.0
,,,,,,,,,,2M 1253+2734,1.0
,,,,,,,,,,2M 1258+2630,1.0
12.757,12.69,0.223,29564,12.955,0.48,12.889,12.17,sdBV,,2M 1938+4603 A,0.0
,,0.158,,,0.12,,,M,,2M 1938+4603 B,0.0
,,0.1,2300.0,,0.08,,,M8.5/L2,,2M 2140+16,1.0
,19.788,0.11,2350.0,,0.13,,,M8,,2M 2206-20,1.0
10.02,14.24,,,9.17,0.40,9.47,,M3.5,,2MASS J01225093-2439505 A,1.0
,,,,,,,,,,2MASS J0030-1450,1.0
7.360,,,,6.440,0.19,6.780,,M5.5/M6,,2MASS J01033563-5515561 A,1.0
11.321,,0.281,3064,10.444,0.108,10.855,18.50,M6γ,,2MASS J0219-3925,1.0
,,,,11.73,0.0458,,,M6,,2MASS J02495639-0557352 A,0.0
,,,,11.85,0.0420,,,M6,,2MASS J02495639-0557352 B,0.0
,,,,,,,,,,2MASS J0459-2853,1.0
,,,,,,,,,,2MASS J06023447-0034369,1.0
,,,,,,,,,,2MASS J0642+4101,1.0
,,,,,,,,,,2MASS J0718-6415,1.0
,,,,,,,,,,2MASS J0809+4434,1.0
,,,,,,,,,,2MASS J0951-8023,1.0
,,,,14.62,,,,L7,,2MASS J1119-1137,1.0
11.296,,0.827,5225.0,10.794,0.883,10.884,,,0.14,2MASS J19354742+4803549,1.0
,,,,,,,,,,2MASS J2002-0521,1.0
,,,,,,,,,,2MASS J2117-2940,1.0
,,,,,,,,,,2MASS J2206+3301,1.0
9.975,12.510,,4045.00,9.148,0.60,9.338,,K7V,,2MASS J22362452+4751425,1.0
5.681,6.48,1.37,6462,5.479,1.31,5.580,6.86,F5V,,30 Ari Aa,0.0
,,,,,0.14,,,,,30 Ari Ab,0.0
6.080,7.091,1.13,6424,5.90,1.16,5.908,7.59,F8V,0.07,30 Ari B,1.0
9.57,,,,8.74,0.50,,,M1V,,30 Ari C,0.0
,6.11,1.45,6557.0,,1.18,,,F6 V,0.07,38 Vir,1.0
2.949,4.833,22.03,4200,2.085,0.98,2.197,6.020,K1.5III,-0.46,42 Dra,1.0
3.960,5.04,1.24,5818.7,3.75,1.063,3.736,5.66,G0V,-0.019,47 UMa,3.0
2.48,5.787,18.11,4415,1.88,1.234,1.94,5.787,K1III,-0.25,4 UMa,1.0
4.68,5.223,,,4.56,1.75,4.60,5.485,F0IV,-0.027,51 Eri,1.0
,7.70,,,,0.67,,,M0,,GJ 3305 A,0.0
,10.90,,,,0.44,,,M3,,GJ 3305 B,0.0
4.66,5.49,1.266,5793.0,3.911,1.04,4.23,6.16,G2 IV,0.2,51 Peg,1.0
4.768,5.95,0.943,5172,4.015,0.905,4.265,6.82,K0IV-V,0.35,55 Cancri A,5.0
8.560,13,,,7.666,0.2,7.933,,M4,,55 Cancri B,0.0
,7.49,,,,0.70,,,K5.0V,,61 Cygni A,0.0
,8.31,,,,0.63,,,K7.0V,,61 Cygni B,0.0
3.334,4.740,0.963,5571,2.956,0.95,2.974,5.440,G5V,0.05,61 Vir,3.0
4.272,5.86,5.2,4978.0,3.701,1.82,3.825,6.82,K0IV,-0.13,6 Lyn,1.0
3.80,4.970,1.94,5439,3.24,1.09,3.46,5.680,G4 V,-0.09,70 Vir,1.0
3.685,5.364,10.5,4846,3.067,2.49,3.186,6.373,G3III:,0.00,75 Cet,1.0
2.173,3.920,4.87,4826.00,1.564,1.34,1.679,,K1III,0.210,7 CMa,2.0
3.940,5.65,11,4790.0,3.266,2.4,3.386,6.667,G5III,-0.06,81 Cet,1.0
5.165,6.50,0.93,5509,4.747,0.995,4.937,7.29,K0IV,,83 Leonis A,0.0
5.165,7.38,0.78,4929,4.747,0.85,4.937,7.29,K2V,0.3,83 Leonis B,2.0
5.069,6.843,9.9,4847.4,4.515,1.8,4.749,7.817,K0,-0.03,8 Ursae Minoris,1.0
2.400,4.24,11.0,4665,1.746,1.4,1.886,5.32,K0 III,-0.03,91 Aquarii A,1.0
,9.9,,,,0.78,,10.9,K3V,,91 Aquarii B,0.0
,10.1,,,,0.73,,,K,,91 Aquarii C,0.0
,7.06,,,,2.4,,,A0V,,AB Aur,1.0
7.576,9.16,,4875.0,6.981,,7.088,10.01,K2 V,-0.64,AB Pic,1.0
,10.87,,,,0.4,,,M3.0V,,AD Leonis,0.0
5.2680000,6.3320000,1.25,6130.00,4.9260000,1.20,5.0870000,,F8V,0.190,AF Lep,1.0
0.06,2.01,13.9,4553,,1.5,,3.16,K2III,-0.09,alf Ari,1.0
,0.99,45.1,4055,,1.13,,,K5 III,-0.27,alf Tau,1.0
,13.6,,,,,,,M2V,,alf Tau B,0.0
,,0.141,2900,,0.120,,,M5.5V,,Proxima Centauri,3.0
-1.15,0.01,1.227,5790,-1.49,1.100,-1.38,0.72,G2 V,0.20,Alpha Centauri A,0.0
-0.01,1.33,0.865,5260,-0.60,0.907,-0.49,2.21,K1 V,0.23,Alpha Centauri B,2.0
5.436,8.810,0.75,3700.00,4.529,0.50,4.831,,M1VE,,AU Mic,1.0
,13.22,,,,0.144,,,M4.0Ve,,Barnard's Star,0.0
,9.45,8.47,4425.0,,1.03,,,K2,0.1,BD+02.3313,1.0
6.960,9.58,32.35,4095.0,6.021,1.14,6.186,10.79,,-0.71,BD+03 2562,1.0
7.960,9.86,,4746,7.323,0.74,7.498,10.94,K3V,-0.07,BD-08 2823,2.0
8.61,10.01,0.81,5393,8.124,0.85,8.30,10.88,K3.0 V,0.382,BD-10 3166,1.0
7.651,9.990,0.64,4550.00,6.867,0.65,7.031,11.21,K7V,-0.350,BD-11 4672,2.0
7.882,9.66,,5008,7.336,0.86,7.455,10.66,K2V,0.10,BD+14 4559,1.0
8.372,10.31,8.95,4649,7.718,1.08,7.862,11.3,,-0.22,BD+15 2375,1.0
7.154,9.05,14.7,4796,6.525,1.1,6.664,10.12,K0,0.28,BD+15 2940,1.0
7.574,9.62,0.69,4714,6.914,0.74,7.027,10.77,K5V,-0.03,BD-17 63,1.0
7.643,10.001,,4410,6.879,0.63,7.032,11.08,K5Ve,0.30,BD+20 1790,1.0
7.299,9.74,,4137,6.420,2.8,6.606,10.99,K2II,-1.00,BD+20 2457,2.0
7.003,9.367,17.3,4296,6.169,0.8,6.337,10.72,K5 III,-0.46,BD+20 274,1.0
9.770,11.038,0.928,5766,9.368,0.961,9.432,11.728,G,-0.15,BD+20 594,1.0
7.2960000,9.8400000,0.75,4051.00,6.5040000,0.68,6.6650000,,K7V,0.120,BD-210397,2.0
7.912,9.76,,4748,7.336,0.76,7.437,10.87,K7,0.02,BD+26 1888,1.0
8.0630000,9.6700000,0.81,5004.00,7.5570000,0.81,7.6450000,,K1,-0.090,BD+45 564,1.0
6.704,9.139,11,4414,5.904,0.74,6.077,10.35,K0III,-0.20,BD+48 738,1.0
6.385,8.699,10.33,4534.00,5.645,1.09,5.791,,K3III,-0.130,BD+48 740,1.0
7.246,9.38,7.6,4943,6.571,1.52,6.729,10.51,K0,-0.19,BD+49 828,1.0
7.8260000,9.3800000,0.90,5012.00,7.3310000,0.91,7.4430000,,K3,0.180,BD+55 362,1.0
,,0.797,4993.0,,1.0,,,,,BD+60 1417,1.0
7.3030000,8.9600000,0.80,5000.00,6.7800000,0.82,6.8950000,,K0,-0.090,BD+63 1405,1.0
1.06,3.520,47.2,4092.1,0.14,1.7,0.28,5.000,K4III,-0.29,beta Cancri,1.0
3.669,3.850,,,3.526,1.76,3.544,4.03,A5V,,beta Pic,2.0
,2.08,38.3,4126,,1.4,,3.55,K4IIIvar,-0.27,beta Ursae Minoris,1.0
,0.5,800,,,17.75,,,M1,,Betelgeuse,0.0
,,,540.0,,0.02,,,T9.5,,CFBDS 1458,1.0
16.7750000,,0.24,2320.00,14.5930000,0.01,15.5740000,,M9-L1,,CFHTWIR-Oph 98 A,1.0
12.674,,,3840.0,10.703,0.35,11.317,,M3.25,,CHXR 73,1.0
9.480,13.80,,,7.793,0.80,8.43,15.09,K4IVe,,CI Tau,1.0
,11.3,0.388,3406.0,,0.37,,,M3,0.0,COCONUTS-2,1.0
12.567,15.216,0.79,5075.0,11.782,0.89,11.929,16.676,K1V,0.26,CoRoT-10,1.0
11.589,12.80,1.37,6440.0,11.248,1.27,11.416,13.73,F6V,-0.03,CoRoT-11,1.0
14.02,15.515,1.116,5675.0,13.56,1.078,13.63,16.343,G2V,0.16,CoRoT-12,1.0
13.710,15.04,1.01,5945.0,13.38,1.09,13.406,15.33,G0V,0.01,CoRoT-13,1.0
14.32,16.03,1.21,6035.0,13.81,1.13,14.01,16.891,F9V,0.05,CoRoT-14,1.0
13.496,16.03,1.19,5650.0,12.85,1.098,12.98,17.85,G5V,0.19,CoRoT-16,1.0
13.17,15.88,1.59,5740.0,12.47,1.04,12.62,17.38,G2V,,CoRoT-17,1.0
13.441,15.00,1,5440.0,13.01,0.95,13.08,15.8,G9V,-0.1,CoRoT-18,1.0
12.324,14.007,1.65,6090.0,11.837,1.21,11.961,14.780,F9V,-0.02,CoRoT-19,1.0
12.462,13.6,1.11,6298.0,12.149,0.95,12.218,,G0V,-0.3,CoRoT-1,1.0
12.991,14.66,1.02,5880,12.513,1.14,12.652,15.41,G2V,0.14,CoRoT-20,2.0
14.34,15.84,1.945,6200.0,13.81,1.29,13.98,16.66,FIV8,,CoRoT-21,1.0
12.414,13.944,1.136,5939,11.988,1.099,12.099,14.740,G0IV,0.17,CoRoT-22,1.0
12.944,15.63,1.61,5900.0,12.36,1.14,12.450,16.0,G0V,0.05,CoRoT-23,1.0
13.595,,0.86,4950,12.924,0.91,13.05,,K1V,0.3,CoRoT-24,2.0
13.300,14.965,1.19,6040,12.846,1.09,12.990,15.806,F9V,-0.01,CoRoT-25,1.0
13.813,15.756,1.79,5590,13.261,1.09,13.358,16.839,G5,0.01,CoRoT-26,1.0
13.571,,1.08,5900,12.98,1.05,13.17,,G2,0.1,CoRoT-27,1.0
11.601,13.775,1.78,5150,11.032,1.01,11.143,14.994,G8/9IV,0.15,CoRoT-28,1.0
13.565,15.560,0.90,5260,13.048,0.97,13.120,16.705,K0V,0.20,CoRoT-29,1.0
10.783,12.568,0.902,5575.0,10.31,0.97,10.44,13.422,G7V,,CoRoT-2,1.0
14.019,15.650,0.91,5650.00,13.562,0.98,13.551,,G3V,0.020,CoRoT-30,1.0
13.908,,2.15,5700.00,13.426,1.25,13.469,,G2IV,0.000,CoRoT-31,1.0
,15.7,1.65,6390.0,,1.01,,,F3V,-0.5,CoRoT-35,1.0
,13.1,1.52,6730.0,,1.32,,,,-0.1,CoRoT-36,1.0
11.94,13.292,1.56,6740,11.62,1.37,11.71,14.199,F3V,-0.02,CoRoT-3,1.0
12.619,13.7,1.15,6190.0,12.29,1.1,12.359,,F8V,0.05,CoRoT-4,1.0
12.871,14,1.186,6100.0,12.546,1.00,12.61,14.67,F9V,-0.25,CoRoT-5,1.0
12.518,13.80,1.025,6090.0,12.119,1.05,12.228,14.68,F5V,-0.2,CoRoT-6,1.0
10.3010000,11.7280000,0.83,5275.00,9.8060000,0.82,9.8800000,,G9V,0.050,CoRoT-7,3.0
12.154,14.797,0.77,5080.0,11.463,0.88,11.641,16.096,K1V,0.3,CoRoT-8,1.0
12.175,13.46,0.94,5625.0,11.688,0.99,11.813,14.57,G3V,-0.01,CoRoT-9,1.0
12.519,,0.79,5970.00,12.193,1.08,12.250,,G0VI,0.000,CoRoTID 223977153,1.0
9.715,12.36,,5150.0,8.661,,8.944,13.44,K7,,CT Cha,1.0
9.392,,,,8.555,0.51,8.797,,,,DE CVn,1.0
,24.44,,,,0.045,,,L7.5V,,DEN 0255-4700,0.0
,19.37,,,,0.08,,,M8.5V,,DEN 1048-3956,0.0
9.767,13.71,,3840.0,8.178,0.4,8.824,15.23,M0.5V,,DH Tau,1.0
7.001,7.981,1.26,6196.00,6.690,1.21,6.746,,F8V,,DMPP-1,4.0
7.703,8.567,1.78,6500.00,7.437,1.44,7.482,,F5V,,DMPP-2,1.0
7.588,9.066,0.91,5138.00,7.061,0.87,7.193,,K0V,0.180,DMPP-3 A,1.0
4.7000000,5.7293600,1.38,6400.00,4.4940000,1.25,4.5900000,,F5-F8V,-0.007,DMPP-4,1.0
,17.5,0.0144,13500,,0.6,,,AM Her,,DP Leo A,0.0
,,,3000,,0.09,,,,,DP Leo B,0.0
7.122,8.469,0.96,5428.00,6.676,1.01,6.759,,G6V,0.000,DS Tuc A,1.0
,16.98,,,,0.09,,,M6.5Ve,,DX Cancri,0.0
